company_name,lever_slug,lever_jobs_url,lever_api_url,source_dataset,first_seen_in_dataset,last_seen_in_dataset,job_count_in_dataset,validated,validated_at,validation_status
15Five,15five,https://jobs.lever.co/15five,https://api.lever.co/v0/postings/15five?mode=json,open-apply-jobs,2026-02-09,2026-04-16,332,,,
1Inch,1inch,https://jobs.lever.co/1inch,https://api.lever.co/v0/postings/1inch?mode=json,open-apply-jobs,2025-05-01,2026-06-26,277,,,
21Hhs,21hhs,https://jobs.lever.co/21hhs,https://api.lever.co/v0/postings/21hhs?mode=json,open-apply-jobs,2023-04-10,2026-06-23,16982,,,
2Brains,2brains,https://jobs.lever.co/2brains,https://api.lever.co/v0/postings/2brains?mode=json,open-apply-jobs,2024-02-23,2026-04-09,640,,,
2Os,2os,https://jobs.lever.co/2os,https://api.lever.co/v0/postings/2os?mode=json,open-apply-jobs,2026-04-01,2026-04-01,61,,,
32Co,32co,https://jobs.lever.co/32co,https://api.lever.co/v0/postings/32co?mode=json,open-apply-jobs,2025-08-18,2026-06-23,348,,,
360Learning,360learning,https://jobs.lever.co/360learning,https://api.lever.co/v0/postings/360learning?mode=json,open-apply-jobs,2019-02-15,2026-06-26,2500,,,
3Eco,3eco,https://jobs.lever.co/3eco,https://api.lever.co/v0/postings/3eco?mode=json,open-apply-jobs,2025-12-04,2026-04-29,502,,,
3Pillarglobal,3pillarglobal,https://jobs.lever.co/3pillarglobal,https://api.lever.co/v0/postings/3pillarglobal?mode=json,open-apply-jobs,2025-01-10,2026-06-27,3484,,,
5Amventures,5amventures,https://jobs.lever.co/5amventures,https://api.lever.co/v0/postings/5amventures?mode=json,open-apply-jobs,2026-03-13,2026-06-02,260,,,
90Seconds,90seconds,https://jobs.lever.co/90seconds,https://api.lever.co/v0/postings/90seconds?mode=json,open-apply-jobs,2020-01-31,2026-01-27,270,,,
Ableserve,ableserve,https://jobs.lever.co/ableserve,https://api.lever.co/v0/postings/ableserve?mode=json,open-apply-jobs,2025-04-09,2026-06-26,6677,,,
Abovelending,abovelending,https://jobs.lever.co/abovelending,https://api.lever.co/v0/postings/abovelending?mode=json,open-apply-jobs,2025-09-24,2026-06-18,281,,,
Abt,abt,https://jobs.lever.co/abt,https://api.lever.co/v0/postings/abt?mode=json,open-apply-jobs,2025-11-06,2025-11-06,14,,,
Abtaba,abtaba,https://jobs.lever.co/abtaba,https://api.lever.co/v0/postings/abtaba?mode=json,open-apply-jobs,2024-01-18,2026-06-26,13744,,,
Acceldata,acceldata,https://jobs.lever.co/acceldata,https://api.lever.co/v0/postings/acceldata?mode=json,open-apply-jobs,2024-01-20,2026-05-20,2618,,,
Accesssoftek,accesssoftek,https://jobs.lever.co/accesssoftek,https://api.lever.co/v0/postings/accesssoftek?mode=json,open-apply-jobs,2019-11-18,2026-05-22,268,,,
Acds,acds,https://jobs.lever.co/acds,https://api.lever.co/v0/postings/acds?mode=json,open-apply-jobs,2022-06-02,2026-06-20,492,,,
Achievers,achievers,https://jobs.lever.co/achievers,https://api.lever.co/v0/postings/achievers?mode=json,open-apply-jobs,2025-08-27,2026-06-26,1122,,,
Acord,acord,https://jobs.lever.co/acord,https://api.lever.co/v0/postings/acord?mode=json,open-apply-jobs,2021-11-10,2026-04-23,155,,,
Acselhealth,acselhealth,https://jobs.lever.co/acselhealth,https://api.lever.co/v0/postings/acselhealth?mode=json,open-apply-jobs,2020-09-02,2020-10-13,128,,,
Actian,actian,https://jobs.lever.co/actian,https://api.lever.co/v0/postings/actian?mode=json,open-apply-jobs,2023-06-16,2026-06-10,1474,,,
Actionlife,actionlife,https://jobs.lever.co/actionlife,https://api.lever.co/v0/postings/actionlife?mode=json,open-apply-jobs,2025-06-25,2026-06-27,2679,,,
Activecampaign,activecampaign,https://jobs.lever.co/activecampaign,https://api.lever.co/v0/postings/activecampaign?mode=json,open-apply-jobs,2017-11-07,2026-06-25,1396,,,
Additionwealth,additionwealth,https://jobs.lever.co/additionwealth,https://api.lever.co/v0/postings/additionwealth?mode=json,open-apply-jobs,2022-02-08,2026-04-02,928,,,
Addx,addx,https://jobs.lever.co/addx,https://api.lever.co/v0/postings/addx?mode=json,open-apply-jobs,2024-08-07,2026-04-29,428,,,
Adhoclabs,adhoclabs,https://jobs.lever.co/adhoclabs,https://api.lever.co/v0/postings/adhoclabs?mode=json,open-apply-jobs,2023-11-11,2026-04-20,202,,,
Adidevelopments,adidevelopments,https://jobs.lever.co/adidevelopments,https://api.lever.co/v0/postings/adidevelopments?mode=json,open-apply-jobs,2026-04-02,2026-06-26,381,,,
Adora,adora,https://jobs.lever.co/adora,https://api.lever.co/v0/postings/adora?mode=json,open-apply-jobs,2025-01-12,2026-04-01,219,,,
Adtech,adtech,https://jobs.lever.co/adtech,https://api.lever.co/v0/postings/adtech?mode=json,open-apply-jobs,2026-02-04,2026-04-13,27,,,
Advancedagrilytics,advancedagrilytics,https://jobs.lever.co/advancedagrilytics,https://api.lever.co/v0/postings/advancedagrilytics?mode=json,open-apply-jobs,2025-08-08,2026-06-16,300,,,
Adventus,adventus,https://jobs.lever.co/adventus,https://api.lever.co/v0/postings/adventus?mode=json,open-apply-jobs,2023-10-13,2026-06-16,1228,,,
Adverum,adverum,https://jobs.lever.co/adverum,https://api.lever.co/v0/postings/adverum?mode=json,open-apply-jobs,2020-10-29,2026-05-28,687,,,
Advocate,advocate,https://jobs.lever.co/advocate,https://api.lever.co/v0/postings/advocate?mode=json,open-apply-jobs,2024-10-11,2026-02-03,384,,,
Ae,ae-2,https://jobs.lever.co/ae-2,https://api.lever.co/v0/postings/ae-2?mode=json,open-apply-jobs,2018-08-17,2026-06-15,1998,,,
Aeratechnology,aeratechnology,https://jobs.lever.co/aeratechnology,https://api.lever.co/v0/postings/aeratechnology?mode=json,open-apply-jobs,2023-09-19,2026-06-04,1066,,,
Aerispartners.Com,aerispartners.com,https://jobs.lever.co/aerispartners.com,https://api.lever.co/v0/postings/aerispartners.com?mode=json,open-apply-jobs,2022-12-22,2025-08-25,416,,,
Aero,aero,https://jobs.lever.co/aero,https://api.lever.co/v0/postings/aero?mode=json,open-apply-jobs,2024-07-24,2026-06-16,456,,,
Aerostrat,aerostrat,https://jobs.lever.co/aerostrat,https://api.lever.co/v0/postings/aerostrat?mode=json,open-apply-jobs,2026-03-16,2026-06-22,213,,,
Aeva,aeva,https://jobs.lever.co/aeva,https://api.lever.co/v0/postings/aeva?mode=json,open-apply-jobs,2025-04-04,2026-06-17,2303,,,
Afero,afero,https://jobs.lever.co/afero,https://api.lever.co/v0/postings/afero?mode=json,open-apply-jobs,2025-08-08,2026-06-23,172,,,
Agatesoftware,agatesoftware,https://jobs.lever.co/agatesoftware,https://api.lever.co/v0/postings/agatesoftware?mode=json,open-apply-jobs,2025-02-19,2026-06-15,408,,,
Agicap,agicap,https://jobs.lever.co/agicap,https://api.lever.co/v0/postings/agicap?mode=json,open-apply-jobs,2019-07-24,2026-06-22,2863,,,
Agile Defense,agile-defense,https://jobs.lever.co/agile-defense,https://api.lever.co/v0/postings/agile-defense?mode=json,open-apply-jobs,2023-06-05,2026-06-26,8268,,,
Agilesearch,agilesearch,https://jobs.lever.co/agilesearch,https://api.lever.co/v0/postings/agilesearch?mode=json,open-apply-jobs,2017-02-14,2023-08-25,128,,,
Agiloft,agiloft,https://jobs.lever.co/agiloft,https://api.lever.co/v0/postings/agiloft?mode=json,open-apply-jobs,2025-10-20,2026-06-23,1010,,,
Agtonomy,agtonomy,https://jobs.lever.co/agtonomy,https://api.lever.co/v0/postings/agtonomy?mode=json,open-apply-jobs,2025-03-21,2026-05-26,271,,,
Ahschc,ahschc,https://jobs.lever.co/ahschc,https://api.lever.co/v0/postings/ahschc?mode=json,open-apply-jobs,2024-01-11,2026-06-02,1728,,,
Aicrete,aicrete,https://jobs.lever.co/aicrete,https://api.lever.co/v0/postings/aicrete?mode=json,open-apply-jobs,2024-01-09,2024-04-29,192,,,
Aifi,aifi,https://jobs.lever.co/aifi,https://api.lever.co/v0/postings/aifi?mode=json,open-apply-jobs,2025-01-07,2025-10-08,126,,,
Aipconnect,aipconnect,https://jobs.lever.co/aipconnect,https://api.lever.co/v0/postings/aipconnect?mode=json,open-apply-jobs,2019-10-23,2026-06-24,1786,,,
Air Tek,air-tek,https://jobs.lever.co/air-tek,https://api.lever.co/v0/postings/air-tek?mode=json,open-apply-jobs,2021-04-28,2026-05-15,922,,,
Airalo,airalo,https://jobs.lever.co/airalo,https://api.lever.co/v0/postings/airalo?mode=json,open-apply-jobs,2026-01-13,2026-06-26,1026,,,
Aircall,aircall,https://jobs.lever.co/aircall,https://api.lever.co/v0/postings/aircall?mode=json,open-apply-jobs,2021-04-22,2026-06-26,6742,,,
Airdna,airdna,https://jobs.lever.co/airdna,https://api.lever.co/v0/postings/airdna?mode=json,open-apply-jobs,2025-12-05,2026-06-16,110,,,
Airslate,airslate,https://jobs.lever.co/airslate,https://api.lever.co/v0/postings/airslate?mode=json,open-apply-jobs,2023-04-18,2026-06-25,997,,,
Airtm,airtm,https://jobs.lever.co/airtm,https://api.lever.co/v0/postings/airtm?mode=json,open-apply-jobs,2026-02-12,2026-05-28,129,,,
Aisafety,aisafety,https://jobs.lever.co/aisafety,https://api.lever.co/v0/postings/aisafety?mode=json,open-apply-jobs,2022-10-07,2026-06-08,1030,,,
Aizon,aizon,https://jobs.lever.co/aizon,https://api.lever.co/v0/postings/aizon?mode=json,open-apply-jobs,2025-11-25,2026-06-15,289,,,
Ajax,ajax,https://jobs.lever.co/ajax,https://api.lever.co/v0/postings/ajax?mode=json,open-apply-jobs,2022-09-02,2026-06-26,14372,,,
